user_id,auction_id,cat_id,cat1,property,buy_mount,buy_day,birthday,label
1,1,1,1,1:1;2:1;4:1,1,20160101,20160101,0
2,2,2,2,1:1;2:2;3:1,1,20160101,20160101,0
3,3,3,3,1:2;2:1;3:2,1,20160101,20160101,0
4,4,4,4,1:1;5:2,1,20160101,20160101,0
5,5,5,5,1:2;2:1,1,20160101,20160101,0
6,6,6,6,1:2;4:1,1,20160101,20160101,0
7,7,7,7,3:1;4:1;5:1,1,20160101,20160101,0
8,8,8,8,2:2;3:2;4:2,1,20160101,20160101,0
9,9,9,9,1:2;3:2;4:1,1,20160101,20160101,0
10,10,10,10,2:1;3:1;4:2;5:1,1,20160101,20160101,0
11,11,1,1,1:2;3:1;4:1,1,20160101,20160101,0
12,12,2,2,1:1;2:2;3:2;4:1,1,20160101,20160101,0
13,13,3,3,3:2;4:1,1,20160101,20160101,0
14,14,4,4,3:1;4:2;5:2,1,20160101,20160101,0
15,15,5,5,4:1;5:1,1,20160101,20160101,0
16,16,6,6,4:2;5:2,1,20160101,20160101,0
17,17,7,7,2:1;3:1;4:2,1,20160101,20160101,0
18,18,8,8,2:2;5:1,1,20160101,20160101,0
19,19,9,9,3:2;4:2;5:2,1,20160101,20160101,0
20,20,10,10,4:2;5:1,1,20160101,20160101,0
21,21,1,1,2:2;3:1;4:1,1,20160101,20160101,0
22,22,2,2,3:2;4:1;5:1,1,20160101,20160101,0
23,23,3,3,2:2;3:1;5:2,1,20160101,20160101,0
24,24,4,4,2:1;3:2;5:1,1,20160101,20160101,0
25,25,5,5,1:1;2:1;4:1,1,20160101,20160101,0
26,26,6,6,1:1;2:2;3:1,1,20160101,20160101,0
27,27,7,7,1:2;2:1;3:2,1,20160101,20160101,0
28,28,8,8,1:1;5:2,1,20160101,20160101,0
29,29,9,9,1:2;2:1,1,20160101,20160101,0
30,30,10,10,1:2;4:1,1,20160101,20160101,0
31,31,1,1,3:1;4:1;5:1,1,20160101,20160101,0
32,32,2,2,2:2;3:2;4:2,1,20160101,20160101,0
33,33,3,3,1:2;3:2;4:1,1,20160101,20160101,0
34,34,4,4,2:1;3:1;4:2;5:1,1,20160101,20160101,0
35,35,5,5,1:2;3:1;4:1,1,20160101,20160101,0
36,36,6,6,1:1;2:2;3:2;4:1,1,20160101,20160101,0
37,37,7,7,3:2;4:1,1,20160101,20160101,0
38,38,8,8,3:1;4:2;5:2,1,20160101,20160101,0
39,39,9,9,4:1;5:1,1,20160101,20160101,0
40,40,10,10,4:2;5:2,1,20160101,20160101,0
41,41,1,1,2:1;3:1;4:2,1,20160101,20160101,0
42,42,2,2,2:2;5:1,1,20160101,20160101,0
43,43,3,3,3:2;4:2;5:2,1,20160101,20160101,0
44,44,4,4,4:2;5:1,1,20160101,20160101,0
45,45,5,5,2:2;3:1;4:1,1,20160101,20160101,0
46,46,6,6,3:2;4:1;5:1,1,20160101,20160101,0
47,47,7,7,2:2;3:1;5:2,1,20160101,20160101,0
48,48,8,8,2:1;3:2;5:1,1,20160101,20160101,0
49,49,9,9,1:1;2:1;4:1,1,20160101,20160101,0
50,50,10,10,1:1;2:2;3:1,1,20160101,20160101,0
51,51,1,1,1:2;2:1;3:2,1,20160101,20160101,0
52,52,2,2,1:1;5:2,1,20160101,20160101,0
53,53,3,3,1:2;2:1,1,20160101,20160101,0
54,54,4,4,1:2;4:1,1,20160101,20160101,0
55,55,5,5,3:1;4:1;5:1,1,20160101,20160101,0
56,56,6,6,2:2;3:2;4:2,1,20160101,20160101,0
57,57,7,7,1:2;3:2;4:1,1,20160101,20160101,0
58,58,8,8,2:1;3:1;4:2;5:1,1,20160101,20160101,0
59,59,9,9,1:2;3:1;4:1,1,20160101,20160101,0
60,60,10,10,1:1;2:2;3:2;4:1,1,20160101,20160101,0
61,61,1,1,3:2;4:1,1,20160101,20160101,0
62,62,2,2,3:1;4:2;5:2,1,20160101,20160101,0
63,63,3,3,4:1;5:1,1,20160101,20160101,0
64,64,4,4,4:2;5:2,1,20160101,20160101,0
65,65,5,5,2:1;3:1;4:2,1,20160101,20160101,0
66,66,6,6,2:2;5:1,1,20160101,20160101,0
67,67,7,7,3:2;4:2;5:2,1,20160101,20160101,0
68,68,8,8,4:2;5:1,1,20160101,20160101,0
69,69,9,9,2:2;3:1;4:1,1,20160101,20160101,0
70,70,10,10,3:2;4:1;5:1,1,20160101,20160101,0
71,71,1,1,2:2;3:1;5:2,1,20160101,20160101,0
72,72,2,2,2:1;3:2;5:1,1,20160101,20160101,0
73,73,3,3,1:1;2:1;4:1,1,20160101,20160101,0
74,74,4,4,1:1;2:2;3:1,1,20160101,20160101,0
75,75,5,5,1:2;2:1;3:2,1,20160101,20160101,0
76,76,6,6,1:1;5:2,1,20160101,20160101,0
77,77,7,7,1:2;2:1,1,20160101,20160101,0
78,78,8,8,1:2;4:1,1,20160101,20160101,0
79,79,9,9,3:1;4:1;5:1,1,20160101,20160101,0
80,80,10,10,2:2;3:2;4:2,1,20160101,20160101,0
81,81,1,1,1:2;3:2;4:1,1,20160101,20160101,0
82,82,2,2,2:1;3:1;4:2;5:1,1,20160101,20160101,0
83,83,3,3,1:2;3:1;4:1,1,20160101,20160101,0
84,84,4,4,1:1;2:2;3:2;4:1,1,20160101,20160101,0
85,85,5,5,3:2;4:1,1,20160101,20160101,0
86,86,6,6,3:1;4:2;5:2,1,20160101,20160101,0
87,87,7,7,4:1;5:1,1,20160101,20160101,0
88,88,8,8,4:2;5:2,1,20160101,20160101,0
89,89,9,9,2:1;3:1;4:2,1,20160101,20160101,0
90,90,10,10,2:2;5:1,1,20160101,20160101,0
91,91,1,1,3:2;4:2;5:2,1,20160101,20160101,0
92,92,2,2,4:2;5:1,1,20160101,20160101,0
93,93,3,3,2:2;3:1;4:1,1,20160101,20160101,0
94,94,4,4,3:2;4:1;5:1,1,20160101,20160101,0
95,95,5,5,2:2;3:1;5:2,1,20160101,20160101,0
96,96,6,6,2:1;3:2;5:1,1,20160101,20160101,0
97,97,7,7,1:1;2:1;4:1,1,20160101,20160101,0
98,98,8,8,1:1;2:2;3:1,1,20160101,20160101,0
99,99,9,9,1:2;2:1;3:2,1,20160101,20160101,0
100,100,10,10,1:1;5:2,1,20160101,20160101,0
101,1,1,1,1:2;2:1,1,20160101,20160101,0
102,2,2,2,1:2;4:1,1,20160101,20160101,0
103,3,3,3,3:1;4:1;5:1,1,20160101,20160101,0
104,4,4,4,2:2;3:2;4:2,1,20160101,20160101,0
105,5,5,5,1:2;3:2;4:1,1,20160101,20160101,0
106,6,6,6,2:1;3:1;4:2;5:1,1,20160101,20160101,0
107,7,7,7,1:2;3:1;4:1,1,20160101,20160101,0
108,8,8,8,1:1;2:2;3:2;4:1,1,20160101,20160101,0
109,9,9,9,3:2;4:1,1,20160101,20160101,0
110,10,10,10,3:1;4:2;5:2,1,20160101,20160101,0
111,11,1,1,4:1;5:1,1,20160101,20160101,0
112,12,2,2,4:2;5:2,1,20160101,20160101,0
113,13,3,3,2:1;3:1;4:2,1,20160101,20160101,0
114,14,4,4,2:2;5:1,1,20160101,20160101,0
115,15,5,5,3:2;4:2;5:2,1,20160101,20160101,0
116,16,6,6,4:2;5:1,1,20160101,20160101,0
117,17,7,7,2:2;3:1;4:1,1,20160101,20160101,0
118,18,8,8,3:2;4:1;5:1,1,20160101,20160101,0
119,19,9,9,2:2;3:1;5:2,1,20160101,20160101,0
120,20,10,10,2:1;3:2;5:1,1,20160101,20160101,0
121,21,1,1,1:1;2:1;4:1,1,20160101,20160101,0
122,22,2,2,1:1;2:2;3:1,1,20160101,20160101,0
123,23,3,3,1:2;2:1;3:2,1,20160101,20160101,0
124,24,4,4,1:1;5:2,1,20160101,20160101,0
125,25,5,5,1:2;2:1,1,20160101,20160101,0
126,26,6,6,1:2;4:1,1,20160101,20160101,0
127,27,7,7,3:1;4:1;5:1,1,20160101,20160101,0
128,28,8,8,2:2;3:2;4:2,1,20160101,20160101,0
129,29,9,9,1:2;3:2;4:1,1,20160101,20160101,0
130,30,10,10,2:1;3:1;4:2;5:1,1,20160101,20160101,0
131,31,1,1,1:2;3:1;4:1,1,20160101,20160101,0
132,32,2,2,1:1;2:2;3:2;4:1,1,20160101,20160101,0
133,33,3,3,3:2;4:1,1,20160101,20160101,0
134,34,4,4,3:1;4:2;5:2,1,20160101,20160101,0
135,35,5,5,4:1;5:1,1,20160101,20160101,0
136,36,6,6,4:2;5:2,1,20160101,20160101,0
137,37,7,7,2:1;3:1;4:2,1,20160101,20160101,0
138,38,8,8,2:2;5:1,1,20160101,20160101,0
139,39,9,9,3:2;4:2;5:2,1,20160101,20160101,0
140,40,10,10,4:2;5:1,1,20160101,20160101,0
141,41,1,1,2:2;3:1;4:1,1,20160101,20160101,0
142,42,2,2,3:2;4:1;5:1,1,20160101,20160101,0
143,43,3,3,2:2;3:1;5:2,1,20160101,20160101,0
144,44,4,4,2:1;3:2;5:1,1,20160101,20160101,0
145,45,5,5,1:1;2:1;4:1,1,20160101,20160101,0
146,46,6,6,1:1;2:2;3:1,1,20160101,20160101,0
147,47,7,7,1:2;2:1;3:2,1,20160101,20160101,0
148,48,8,8,1:1;5:2,1,20160101,20160101,0
149,49,9,9,1:2;2:1,1,20160101,20160101,0
150,50,10,10,1:2;4:1,1,20160101,20160101,0
151,51,1,1,3:1;4:1;5:1,1,20160101,20160101,0
152,52,2,2,2:2;3:2;4:2,1,20160101,20160101,0
153,53,3,3,1:2;3:2;4:1,1,20160101,20160101,0
154,54,4,4,2:1;3:1;4:2;5:1,1,20160101,20160101,0
155,55,5,5,1:2;3:1;4:1,1,20160101,20160101,0
156,56,6,6,1:1;2:2;3:2;4:1,1,20160101,20160101,0
157,57,7,7,3:2;4:1,1,20160101,20160101,0
158,58,8,8,3:1;4:2;5:2,1,20160101,20160101,0
159,59,9,9,4:1;5:1,1,20160101,20160101,0
